content_id,title,category,subcategory,tags,format,mood,depth_level,duration_minutes,cost_band,time_of_day_fit,location_scope,is_local_content,freshness_band,publish_date,popularity_score,recency_score,content_quality_score,description,why_it_matters,source_name,action_label,source_url,recommendation_surface,practicality_score
C0001,Stretching Routines for Long Study Days for Better Energy,Fitness,Beginner Fitness,beginner|workout|gym|stretching,Video,Focused,Light,35,Low,Afternoon,Online,0,New,2025-09-28,71,19,73,"A light video for students who want simple, doable exercise. It uses beginner, workout, gym, stretching to help you fit movement around a student schedule.","Good when you have about 35 minutes, want something focused, and prefer a low option.",Small Wins Fitness,Start routine,https://www.google.com/search?q=Fitness+Beginner+Fitness+Stretching+Routines+for+Long+Study+Days+for+Better+Energy,Deep Dive,0.432
C0002,A Simple Gym Plan for Absolute Beginners for Beginners,Fitness,Beginner Fitness,fitness|beginner|stretching|workout,Guide,Focused,Moderate,12,Low,Weekend,Online,0,Evergreen,2025-10-22,65,31,92,"A moderate step-by-step guide for students who want simple, doable exercise. It uses fitness, beginner, stretching, workout to help you fit movement around a student schedule.","Good when you have about 12 minutes, want something focused, and prefer a low option.",Small Wins Fitness,Start routine,https://www.google.com/search?q=Fitness+Beginner+Fitness+A+Simple+Gym+Plan+for+Absolute+Beginners+for+Beginners,Worth Your Time,0.684
C0003,Short Entertainment Picks for Study Breaks This Weekend,Entertainment,Movies,shows|entertainment|anime|gaming,Carousel,Excited,Light,7,High,Afternoon,Online,0,New,2025-09-06,68,8,78,"A light swipeable checklist for students looking for a better study break. It uses shows, entertainment, anime, gaming to help you choose a break that will not swallow the whole evening.","Good when you have about 7 minutes, want something excited, and prefer a high option.",Study Break Queue,Open recommendation,https://www.google.com/search?q=Entertainment+Movies+Short+Entertainment+Picks+for+Study+Breaks+This+Weekend,Quick Pick,0.371
C0004,How to Recover After an Overloaded Week Without a Huge Routine,Wellness,Mindfulness,stress|wellness|mental health|balance,Podcast,Motivated,Moderate,31,Free,Late Night,Online,0,Recent,2026-01-09,40,70,86,"A moderate listen for students managing stress, sleep, and motivation. It uses stress, wellness, mental health, balance to help you reset your energy without making it a huge project.","Good when you have about 31 minutes, want something motivated, and prefer a free option.",Student Wellbeing Studio,Start wellbeing pick,https://www.google.com/search?q=Wellness+Mindfulness+How+to+Recover+After+an+Overloaded+Week+Without+a+Huge+Routine,Deep Dive,0.597
C0005,Sleep Routines That Feel Realistic for Students for Students,Wellness,Stress Relief,sleep|mental health|stress|mindfulness,Podcast,Calm,Light,16,High,Weekend,Online,0,Evergreen,2026-01-07,76,69,98,"A light listen for students managing stress, sleep, and motivation. It uses sleep, mental health, stress, mindfulness to help you reset your energy without making it a huge project.","Good when you have about 16 minutes, want something calm, and prefer a high option.",Student Wellbeing Studio,Start wellbeing pick,https://www.google.com/search?q=Wellness+Stress+Relief+Sleep+Routines+That+Feel+Realistic+for+Students+for+Students,Worth Your Time,0.759
C0006,Budgeting on a Student Schedule for Everyday Spending,Finance,Savings,student money|cheap|discounts|budget,Guide,Focused,Moderate,17,High,Evening,Online,0,Recent,2025-10-05,59,22,80,"A moderate step-by-step guide for students trying to stretch their budget. It uses student money, cheap, discounts, budget to help you make a practical money decision without heavy jargon.","Good when you have about 17 minutes, want something focused, and prefer a high option.",Student Money Desk,Read money tip,https://www.google.com/search?q=Finance+Savings+Budgeting+on+a+Student+Schedule+for+Everyday+Spending,Worth Your Time,0.373
C0007,Digital Habits That Reduce Daily Friction That Feel Worth It,Lifestyle,Room Setup,habits|student life|daily life|lifestyle,Article,Motivated,Deep,9,High,Late Night,Online,0,Recent,2025-10-05,69,22,95,"A deep read for students improving routines, spaces, and habits. It uses habits, student life, daily life, lifestyle to help you make everyday student life feel a little more intentional.","Good when you have about 9 minutes, want something motivated, and prefer a high option.",Student Life Edit,Read lifestyle pick,https://www.google.com/search?q=Lifestyle+Room+Setup+Digital+Habits+That+Reduce+Daily+Friction+That+Feel+Worth+It,Quick Pick,0.608
C0008,Digital Habits That Reduce Daily Friction for Student Life,Lifestyle,Self-Improvement,routine|lifestyle|habits|daily life,Short Video,Motivated,Moderate,5,High,Morning,Hatfield,1,Evergreen,2026-01-28,63,80,81,"A moderate quick watch for students improving routines, spaces, and habits. It uses routine, lifestyle, habits, daily life to help you make everyday student life feel a little more intentional.","Good when you have about 5 minutes, want something motivated, and prefer a high option.",Student Life Edit,Read lifestyle pick,https://www.google.com/search?q=Lifestyle+Self-Improvement+Digital+Habits+That+Reduce+Daily+Friction+for+Student+Life,Quick Pick,0.535
C0009,Comfort Films for a Slow Evening When You Need a Reset,Entertainment,Gaming,fun|gaming|weekend watch|shows,Article,Relaxed,Moderate,7,Medium,Late Night,Online,0,Evergreen,2025-10-30,75,35,80,"A moderate read for students looking for a better study break. It uses fun, gaming, weekend watch, shows to help you choose a break that will not swallow the whole evening.","Good when you have about 7 minutes, want something relaxed, and prefer a medium option.",Study Break Queue,Open recommendation,https://www.google.com/search?q=Entertainment+Gaming+Comfort+Films+for+a+Slow+Evening+When+You+Need+a+Reset,Quick Pick,0.491
C0010,Budget-Friendly Food Spots Worth Trying This Week This Week,Food,Quick Recipes,food|student food|budget meals|cheap eats,Article,Relaxed,Light,11,Low,Late Night,London,1,Evergreen,2025-10-16,56,28,80,"A light read for students who want easy food choices. It uses food, student food, budget meals, cheap eats to help you find a realistic meal option around time and budget.","Good when you have about 11 minutes, want something relaxed, and prefer a low option.",Quick Bite Campus,See food idea,https://www.google.com/search?q=Food+Quick+Recipes+Budget-Friendly+Food+Spots+Worth+Trying+This+Week+This+Week,Worth Your Time,0.473
