content_id,title,category,subcategory,tags,format,mood,depth_level,duration_minutes,cost_band,time_of_day_fit,location_scope,is_local_content,freshness_band,publish_date,popularity_score,recency_score,content_quality_score,text_features
C0001,Stretching Routines for Long Study Days for Better Energy,Fitness,Beginner Fitness,beginner|workout|gym|stretching,Video,Focused,Light,35,Low,Afternoon,Online,0,New,2025-09-28,71,19,73,Stretching Routines for Long Study Days for Better Energy Fitness Beginner Fitness beginner workout gym stretching Video Focused Light
C0002,A Simple Gym Plan for Absolute Beginners for Beginners,Fitness,Beginner Fitness,fitness|beginner|stretching|workout,Guide,Focused,Moderate,12,Low,Weekend,Online,0,Evergreen,2025-10-22,65,31,92,A Simple Gym Plan for Absolute Beginners for Beginners Fitness Beginner Fitness fitness beginner stretching workout Guide Focused Moderate
C0003,Short Entertainment Picks for Study Breaks This Weekend,Entertainment,Movies,shows|entertainment|anime|gaming,Carousel,Excited,Light,7,High,Afternoon,Online,0,New,2025-09-06,68,8,78,Short Entertainment Picks for Study Breaks This Weekend Entertainment Movies shows entertainment anime gaming Carousel Excited Light
C0004,How to Recover After an Overloaded Week Without a Huge Routine,Wellness,Mindfulness,stress|wellness|mental health|balance,Podcast,Motivated,Moderate,31,Free,Late Night,Online,0,Recent,2026-01-09,40,70,86,How to Recover After an Overloaded Week Without a Huge Routine Wellness Mindfulness stress wellness mental health balance Podcast Motivated Moderate
C0005,Sleep Routines That Feel Realistic for Students for Students,Wellness,Stress Relief,sleep|mental health|stress|mindfulness,Podcast,Calm,Light,16,High,Weekend,Online,0,Evergreen,2026-01-07,76,69,98,Sleep Routines That Feel Realistic for Students for Students Wellness Stress Relief sleep mental health stress mindfulness Podcast Calm Light
C0006,Budgeting on a Student Schedule for Everyday Spending,Finance,Savings,student money|cheap|discounts|budget,Guide,Focused,Moderate,17,High,Evening,Online,0,Recent,2025-10-05,59,22,80,Budgeting on a Student Schedule for Everyday Spending Finance Savings student money cheap discounts budget Guide Focused Moderate
C0007,Digital Habits That Reduce Daily Friction That Feel Worth It,Lifestyle,Room Setup,habits|student life|daily life|lifestyle,Article,Motivated,Deep,9,High,Late Night,Online,0,Recent,2025-10-05,69,22,95,Digital Habits That Reduce Daily Friction That Feel Worth It Lifestyle Room Setup habits student life daily life lifestyle Article Motivated Deep
C0008,Digital Habits That Reduce Daily Friction for Student Life,Lifestyle,Self-Improvement,routine|lifestyle|habits|daily life,Short Video,Motivated,Moderate,5,High,Morning,Hatfield,1,Evergreen,2026-01-28,63,80,81,Digital Habits That Reduce Daily Friction for Student Life Lifestyle Self-Improvement routine lifestyle habits daily life Short Video Motivated Moderate
C0009,Comfort Films for a Slow Evening When You Need a Reset,Entertainment,Gaming,fun|gaming|weekend watch|shows,Article,Relaxed,Moderate,7,Medium,Late Night,Online,0,Evergreen,2025-10-30,75,35,80,Comfort Films for a Slow Evening When You Need a Reset Entertainment Gaming fun gaming weekend watch shows Article Relaxed Moderate
C0010,Budget-Friendly Food Spots Worth Trying This Week This Week,Food,Quick Recipes,food|student food|budget meals|cheap eats,Article,Relaxed,Light,11,Low,Late Night,London,1,Evergreen,2025-10-16,56,28,80,Budget-Friendly Food Spots Worth Trying This Week This Week Food Quick Recipes food student food budget meals cheap eats Article Relaxed Light
