content_id,title,category,format,mood,content_similarity_score,normalized_popularity_score,profile_match_score,final_score,recommendation_reason,user_id
C0386,Energetic Tracks for a Better Start to the Day for Deep Focus,Music,Playlist,Relaxed,0.5606428613004101,0.613431672652189,1.0,0.6617114918782729,favorite category; preferred format; preferred mood,U0001
C0709,Interesting Workshops and Meetups to Check Out for Social Weekends,Events,Short Video,Social,0.6228951568819291,0.7858355084905565,0.5,0.6390512134077001,favorite category,U0001
C0382,Interesting Workshops and Meetups to Check Out for Social Weekends,Events,Carousel,Curious,0.6493618817456875,0.472473292787111,0.7,0.6152673581569059,favorite category; preferred mood,U0001
C0865,Interesting Workshops and Meetups to Check Out This Month,Events,Guide,Curious,0.5503870088624521,0.6668101751385148,0.7,0.6094153986589774,favorite category; preferred mood,U0001
C0400,Interesting Workshops and Meetups to Check Out for Social Weekends,Events,Article,Social,0.6123360836213106,0.6841103799936262,0.5,0.6078124409901274,favorite category,U0001
C0389,Energetic Tracks for a Better Start to the Day for Weekend Vibes,Music,Playlist,Energetic,0.5308129808975243,0.5893336244570377,0.8,0.5992805456078978,favorite category; preferred format,U0001
C0307,Interesting Workshops and Meetups to Check Out for Social Weekends,Events,Article,Curious,0.6176563373957222,0.4696398777721538,0.7,0.5971209550106856,favorite category; preferred mood,U0001
C0223,Interesting Workshops and Meetups to Check Out Near Campus,Events,Carousel,Curious,0.42859820936467524,0.8191515287854075,0.7,0.5805168973469232,favorite category; preferred mood,U0001
C0479,Energetic Tracks for a Better Start to the Day for Quiet Mornings,Music,Carousel,Relaxed,0.5337573775264893,0.5327034475001406,0.7,0.5667424195146044,favorite category; preferred mood,U0001
C0663,Energetic Tracks for a Better Start to the Day That Feel Fresh,Music,Carousel,Relaxed,0.48895321845534306,0.6249034029248866,0.7,0.5651501208816603,favorite category; preferred mood,U0001
C0154,How to Build a Small Emergency Buffer While Studying for Everyday Spending,Finance,Podcast,Focused,0.8674428728453569,0.7397651111219962,0.7,0.8020348578454454,favorite category; preferred mood,U0002
C0463,How to Build a Small Emergency Buffer While Studying for Everyday Spending,Finance,Article,Curious,0.7518360759182254,0.6787097424798652,1.0,0.7831872773749904,favorite category; preferred format; preferred mood,U0002
C0716,Internship Search Habits That Compound Over Time for Graduate Roles,Career,Long Video,Curious,0.5559391260894171,0.6915587458863989,1.0,0.6786562058207792,favorite category; preferred format; preferred mood,U0002
C0184,How to Build a Small Emergency Buffer While Studying for Everyday Spending,Finance,Carousel,Focused,0.6545067527601578,0.6511615224286053,0.7,0.6627690946252381,favorite category; preferred mood,U0002
C0363,How to Build a Small Emergency Buffer While Studying That Scale Well,Finance,Article,Curious,0.4460022690768243,0.7403408132276025,1.0,0.6303864512991539,favorite category; preferred format; preferred mood,U0002
C0793,A Realistic LinkedIn Routine for Students for Graduate Roles,Career,Podcast,Curious,0.6050601810231053,0.6273446271196679,0.7,0.6296192563426249,favorite category; preferred mood,U0002
C0412,Digital Tools for Staying Organised Across Everything for Better Focus,Tech,Guide,Curious,0.5403547347761675,0.6878503271282079,0.7,0.6091576859089441,favorite category; preferred mood,U0002
C0600,Digital Tools for Staying Organised Across Everything Without Paying Too Much,Tech,Guide,Focused,0.648482652017665,0.4391096970816897,0.7,0.6064428828801381,favorite category; preferred mood,U0002
C0304,How to Build a Small Emergency Buffer While Studying This Semester,Finance,Article,Curious,0.4450683092765885,0.614830228687717,1.0,0.598495127274053,favorite category; preferred format; preferred mood,U0002
C0564,AI Tools Worth Testing for Everyday Student Life Without Paying Too Much,Tech,Article,Focused,0.41457572801736137,0.6649344806253866,1.0,0.5942502705658954,favorite category; preferred format; preferred mood,U0002
C0741,Internship Search Habits That Compound Over Time for Student Professionals,Career,Guide,Focused,0.6625630750460981,0.6053990214273663,1.0,0.7157594466321955,favorite category; preferred format; preferred mood,U0003
C0018,Internship Search Habits That Compound Over Time for Student Professionals,Career,Long Video,Focused,0.7039542567621272,0.7275631291828356,0.7,0.7090656235148789,favorite category; preferred mood,U0003
C0897,Internship Search Habits That Compound Over Time for Internship Season,Career,Podcast,Focused,0.5315183562685137,0.654298408413475,1.0,0.6559096980510513,favorite category; preferred format; preferred mood,U0003
C0626,Internship Search Habits That Compound Over Time for Student Professionals,Career,Podcast,Motivated,0.6401145471491223,0.5509157715164127,0.8,0.6497919438111205,favorite category; preferred format,U0003
C0058,Internship Search Habits That Compound Over Time for Graduate Roles,Career,Guide,Motivated,0.44156894128817203,0.9075683979647111,0.8,0.6297550171996724,favorite category; preferred format,U0003
C0786,Internship Search Habits That Compound Over Time for Student Professionals,Career,Checklist,Motivated,0.6034794806433227,0.6883348546922023,0.5,0.6039974280268781,favorite category,U0003
C0683,Flashcard Systems Students Actually Keep Using on a Tight Timetable,Study,Checklist,Focused,0.5158439138919854,0.69261359422083,0.7,0.5968675511957995,favorite category; preferred mood,U0003
C0233,7 Revision Habits That Actually Stick for Mid-Semester Pressure,Study,Short Video,Motivated,0.5178506335178502,0.8000351660399484,0.5,0.5848266399448048,favorite category,U0003
C0631,Internship Search Habits That Compound Over Time for Internship Season,Career,Guide,Curious,0.40879052805370614,0.5884967440560489,1.0,0.5719589764435506,favorite category; preferred format; preferred mood,U0003
C0167,Flashcard Systems Students Actually Keep Using on a Tight Timetable,Study,Guide,Focused,0.315307419165432,0.7826824245248405,1.0,0.5690896866721977,favorite category; preferred format; preferred mood,U0003
C0835,The Best Group Study Strategies for Busy Weeks for Mid-Semester Pressure,Study,Guide,Calm,0.6678028567816878,0.7707805087987376,1.0,0.7599866984296126,favorite category; preferred format; preferred mood,U0004
C0717,Calm Systems for Managing Academic Pressure for Students,Wellness,Guide,Calm,0.6159005152245959,0.5619001555967981,1.0,0.6792203222727273,favorite category; preferred format; preferred mood,U0004
C0094,Calm Systems for Managing Academic Pressure for Students,Wellness,Guide,Relaxed,0.5749880872646624,0.7698979559954758,0.8,0.6687179369944334,favorite category; preferred format,U0004
C0900,Time-Blocking Without Burning Out for Better Consistency,Productivity,Guide,Focused,0.5116743835621719,0.7270595666073987,1.0,0.6631858026110442,favorite category; preferred format; preferred mood,U0004
C0357,Time-Blocking Without Burning Out for Students,Productivity,Short Video,Focused,0.46148716450004323,0.763457077950076,1.0,0.6446822099625429,favorite category; preferred format; preferred mood,U0004
C0318,The Best Group Study Strategies for Busy Weeks for Mid-Semester Pressure,Study,Podcast,Calm,0.6164019971551523,0.625383388391289,0.7,0.6353669455331561,favorite category; preferred mood,U0004
