user_id,holdout_content_id,hit_at_5,hit_at_10,reciprocal_rank,top_10_recommendations
U0001,C0386,1,1,1.0,C0386|C0709|C0382|C0865|C0400|C0389|C0307|C0223|C0479|C0663
U0002,C0117,0,0,0.0,C0154|C0463|C0716|C0184|C0363|C0793|C0412|C0600|C0304|C0564
U0003,C0738,0,0,0.0,C0741|C0018|C0897|C0626|C0058|C0786|C0683|C0233|C0631|C0167
U0004,C0695,0,0,0.0,C0835|C0717|C0094|C0900|C0357|C0318|C0713|C0222|C0312|C0863
U0005,C0450,0,0,0.0,C0100|C0110|C0367|C0233|C0135|C0474|C0251|C0457|C0179|C0275
U0006,C0281,0,0,0.0,C0423|C0007|C0792|C0587|C0130|C0806|C0401|C0264|C0474|C0804
U0007,C0786,0,0,0.0,C0058|C0631|C0344|C0626|C0741|C0135|C0716|C0474|C0233|C0683
U0008,C0457,0,0,0.0,C0640|C0223|C0052|C0709|C0261|C0766|C0679|C0491|C0673|C0219
U0009,C0104,0,0,0.0,C0636|C0141|C0491|C0401|C0261|C0404|C0292|C0348|C0276|C0223
U0010,C0056,0,0,0.0,C0778|C0016|C0768|C0390|C0888|C0030|C0145|C0490|C0512|C0264
U0011,C0624,0,0,0.0,C0546|C0428|C0839|C0506|C0723|C0096|C0386|C0343|C0582|C0049
U0012,C0086,0,0,0.0,C0102|C0045|C0285|C0057|C0474|C0417|C0475|C0130|C0423|C0037
U0013,C0143,0,0,0.0,C0244|C0365|C0838|C0853|C0678|C0596|C0718|C0689|C0216|C0701
U0014,C0836,0,0,0.0,C0900|C0374|C0658|C0304|C0474|C0740|C0233|C0705|C0835|C0743
U0015,C0707,0,0,0.0,C0167|C0098|C0580|C0058|C0790|C0282|C0647|C0045|C0741|C0018
U0016,C0073,0,0,0.0,C0640|C0311|C0603|C0472|C0231|C0491|C0223|C0405|C0306|C0324
U0017,C0717,0,0,0.0,C0823|C0182|C0436|C0282|C0377|C0698|C0580|C0572|C0586|C0755
U0018,C0367,0,0,0.0,C0355|C0559|C0513|C0004|C0779|C0533|C0713|C0361|C0020|C0484
U0019,C0883,0,0,0.0,C0496|C0135|C0636|C0141|C0633|C0401|C0885|C0093|C0694|C0898
U0020,C0536,0,0,0.0,C0585|C0302|C0163|C0081|C0567|C0139|C0257|C0191|C0229|C0730
U0021,C0462,0,0,0.0,C0167|C0647|C0423|C0457|C0045|C0417|C0854|C0102|C0788|C0713
U0022,C0560,0,0,0.0,C0066|C0179|C0547|C0275|C0484|C0789|C0149|C0385|C0430|C0580
U0023,C0559,0,0,0.0,C0475|C0413|C0566|C0078|C0758|C0027|C0012|C0672|C0130|C0390
U0024,C0575,0,0,0.0,C0642|C0715|C0814|C0737|C0502|C0058|C0071|C0888|C0768|C0390
U0025,C0482,0,0,0.0,C0779|C0715|C0713|C0325|C0301|C0253|C0355|C0888|C0576|C0102
U0026,C0346,0,0,0.0,C0333|C0223|C0818|C0128|C0728|C0153|C0370|C0640|C0845|C0366
U0027,C0188,0,0,0.0,C0728|C0219|C0090|C0223|C0333|C0640|C0370|C0733|C0679|C0261
U0028,C0479,0,0,0.0,C0353|C0895|C0273|C0885|C0370|C0898|C0382|C0480|C0172|C0400
U0029,C0687,0,0,0.0,C0502|C0022|C0081|C0737|C0193|C0127|C0267|C0178|C0446|C0726
U0030,C0797,0,0,0.0,C0284|C0309|C0073|C0640|C0783|C0185|C0841|C0405|C0033|C0679
U0031,C0362,0,0,0.0,C0636|C0339|C0141|C0633|C0223|C0301|C0766|C0370|C0292|C0803
U0032,C0222,0,0,0.0,C0672|C0326|C0110|C0502|C0022|C0135|C0127|C0255|C0634|C0802
U0033,C0639,0,0,0.0,C0699|C0404|C0315|C0264|C0636|C0331|C0167|C0792|C0217|C0007
U0034,C0155,0,0,0.0,C0308|C0013|C0694|C0025|C0519|C0271|C0143|C0305|C0699|C0614
U0035,C0095,0,0,0.0,C0634|C0478|C0672|C0120|C0268|C0262|C0881|C0107|C0641|C0236
