interaction_id,user_id,content_id,viewed,liked,saved,shared,completed,dwell_time_percent,rating,engaged_minutes,interaction_timestamp,engagement_score,interaction_day_type,recommendation_surface,rating_filled,engagement_bucket
I000001,U0133,C0103,1,0,0,0,0,72,,23.0,2026-02-06 22:41:00,2.44,Weekday,Home Feed,0.0,Low
I000002,U0085,C0300,1,0,0,1,1,90,,3.6,2025-09-06 08:06:00,8.3,Weekend,Trending,0.0,High
I000003,U0001,C0370,1,1,1,1,0,96,,1.9,2025-09-19 09:56:00,10.42,Weekday,For You,0.0,Very High
I000004,U0410,C0368,1,0,0,0,0,56,3.0,1.1,2025-12-23 07:27:00,4.52,Weekday,For You,3.0,Medium
I000005,U0312,C0668,0,0,0,0,0,65,,5.2,2025-10-02 08:00:00,1.3,Weekday,Because You Liked,0.0,Low
I000006,U0202,C0296,1,1,0,0,0,37,,8.1,2025-10-03 01:28:00,4.24,Weekday,For You,0.0,Medium
I000007,U0112,C0463,1,1,0,0,1,76,4.0,3.8,2026-01-01 06:59:00,11.72,Weekday,Category Page,4.0,Very High
I000008,U0002,C0024,1,0,1,0,0,81,,8.1,2025-10-05 17:18:00,5.62,Weekend,Home Feed,0.0,Medium
I000009,U0422,C0802,1,1,0,0,0,50,,5.5,2025-12-31 20:32:00,4.5,Weekday,Home Feed,0.0,Medium
I000010,U0233,C0746,0,0,0,0,0,77,,11.6,2025-12-20 23:00:00,1.54,Weekend,Category Page,0.0,Low
I000011,U0126,C0772,1,0,0,0,0,55,,4.4,2025-11-07 15:46:00,2.1,Weekday,Home Feed,0.0,Low
I000012,U0294,C0651,1,0,1,0,0,31,,10.5,2026-01-25 01:47:00,4.62,Weekend,For You,0.0,Medium
I000013,U0278,C0270,1,0,1,0,0,67,2.0,8.0,2025-11-20 08:55:00,6.94,Weekday,Trending,2.0,High
I000014,U0360,C0246,1,0,0,0,1,80,,8.0,2026-01-30 10:57:00,6.1,Weekday,For You,0.0,High
I000015,U0067,C0707,1,1,0,0,1,93,4.0,9.3,2025-09-02 17:04:00,12.06,Weekday,Home Feed,4.0,Very High
I000016,U0231,C0116,0,0,0,0,0,62,,26.0,2026-01-30 08:45:00,1.24,Weekday,Search,0.0,Low
I000017,U0255,C0136,1,0,0,0,1,100,,5.0,2026-01-07 22:09:00,6.5,Weekday,Search,0.0,High
I000018,U0066,C0087,1,1,0,1,1,67,4.0,20.8,2025-09-20 17:12:00,13.54,Weekend,Because You Liked,4.0,Very High
I000019,U0131,C0461,1,0,0,0,0,70,5.0,5.6,2025-09-07 10:32:00,6.4,Weekend,For You,5.0,High
I000020,U0228,C0731,1,1,0,0,1,67,,2.0,2025-12-23 06:12:00,8.34,Weekday,For You,0.0,High
I000021,U0062,C0062,1,1,1,0,1,95,,10.4,2025-12-01 10:46:00,11.9,Weekday,For You,0.0,Very High
I000022,U0260,C0427,1,0,0,0,0,82,3.0,5.7,2026-01-05 10:06:00,5.04,Weekday,Search,3.0,Medium
I000023,U0089,C0433,1,1,0,0,0,47,,1.9,2026-01-14 19:18:00,4.44,Weekday,Because You Liked,0.0,Medium
I000024,U0183,C0623,1,1,1,0,1,96,5.0,1.9,2026-01-10 16:39:00,15.92,Weekend,For You,5.0,Very High
I000025,U0152,C0171,1,0,0,1,0,60,,18.0,2025-12-30 08:46:00,4.2,Weekday,Home Feed,0.0,Medium
I000026,U0011,C0738,1,0,0,0,1,61,5.0,1.0,2026-02-12 11:03:00,9.72,Weekday,Home Feed,5.0,Very High
I000027,U0409,C0379,1,0,0,0,1,52,,4.2,2025-09-04 11:40:00,5.54,Weekday,Home Feed,0.0,Medium
I000028,U0311,C0762,1,1,1,0,0,50,4.0,5.0,2025-12-02 11:39:00,10.7,Weekday,Trending,4.0,Very High
I000029,U0007,C0768,1,0,1,0,1,100,,30.0,2025-09-04 16:20:00,9.5,Weekday,For You,0.0,Very High
I000030,U0328,C0130,1,1,1,0,0,67,4.0,5.4,2026-02-16 07:00:00,11.04,Weekday,Home Feed,4.0,Very High
I000031,U0316,C0106,1,0,1,0,0,63,4.0,4.4,2026-01-12 14:39:00,8.46,Weekday,Category Page,4.0,High
I000032,U0009,C0162,1,1,0,0,0,63,,8.8,2025-12-27 10:39:00,4.76,Weekend,For You,0.0,Medium
I000033,U0059,C0456,1,0,0,0,0,7,3.0,1.0,2026-01-07 23:53:00,3.54,Weekday,For You,3.0,Medium
I000034,U0403,C0438,1,0,0,0,1,66,,17.2,2025-09-08 17:41:00,5.82,Weekday,For You,0.0,Medium
I000035,U0281,C0306,1,0,1,0,1,55,,3.3,2025-10-20 08:24:00,8.6,Weekday,For You,0.0,High
I000036,U0432,C0752,0,0,0,0,0,46,,3.2,2025-09-23 10:05:00,0.92,Weekday,Search,0.0,Low
I000037,U0272,C0672,1,0,1,1,1,70,5.0,4.9,2025-11-27 10:26:00,14.9,Weekday,For You,5.0,Very High
I000038,U0304,C0431,0,0,0,0,0,88,,6.2,2025-10-31 13:29:00,1.76,Weekday,Because You Liked,0.0,Low
I000039,U0113,C0562,1,0,1,1,1,74,4.0,3.0,2026-01-25 12:02:00,14.18,Weekend,Because You Liked,4.0,Very High
I000040,U0408,C0460,1,0,0,0,0,43,3.0,1.0,2026-01-20 10:51:00,4.26,Weekday,For You,3.0,Medium
I000041,U0229,C0098,1,0,0,0,0,56,3.0,19.0,2026-01-18 16:39:00,4.52,Weekend,Because You Liked,3.0,Medium
I000042,U0432,C0479,1,1,1,0,1,47,,1.0,2025-12-04 11:10:00,10.94,Weekday,For You,0.0,Very High
I000043,U0282,C0852,1,1,0,0,0,75,,3.0,2025-12-12 18:09:00,5.0,Weekday,Home Feed,0.0,Medium
I000044,U0205,C0225,0,0,0,0,0,68,,4.8,2026-02-18 08:40:00,1.36,Weekday,Category Page,0.0,Low
I000045,U0378,C0287,0,0,0,0,0,45,,2.7,2026-02-13 08:33:00,0.9,Weekday,Because You Liked,0.0,Low
I000046,U0434,C0810,1,0,1,0,1,83,,5.0,2026-03-03 16:02:00,9.16,Weekday,Category Page,0.0,Very High
I000047,U0025,C0250,1,1,0,0,0,33,4.0,2.6,2025-11-10 22:42:00,7.36,Weekday,Search,4.0,High
I000048,U0224,C0046,1,0,0,0,0,53,,11.7,2026-01-11 19:12:00,2.06,Weekend,Trending,0.0,Low
I000049,U0354,C0602,1,1,1,0,0,64,5.0,3.2,2025-11-22 07:21:00,11.78,Weekend,For You,5.0,Very High
I000050,U0349,C0326,1,0,0,0,0,25,,2.5,2026-02-20 19:33:00,1.5,Weekday,Trending,0.0,Low
I000051,U0421,C0511,1,1,1,0,1,75,4.0,15.0,2026-01-02 12:41:00,14.7,Weekday,Search,4.0,Very High
I000052,U0053,C0275,0,0,0,0,0,38,,6.1,2025-11-22 18:12:00,0.76,Weekend,For You,0.0,Low
I000053,U0228,C0545,1,0,0,0,0,43,,12.0,2025-12-25 08:28:00,1.86,Weekday,For You,0.0,Low
I000054,U0448,C0238,1,1,0,1,1,54,4.0,2.2,2025-12-15 11:36:00,13.28,Weekday,Category Page,4.0,Very High
I000055,U0013,C0238,1,1,0,0,0,58,4.0,2.3,2025-10-26 06:39:00,7.86,Weekend,Trending,4.0,High
I000056,U0112,C0626,1,0,1,0,1,69,,8.3,2025-10-12 08:58:00,8.88,Weekend,Because You Liked,0.0,High
I000057,U0076,C0044,1,0,0,1,1,75,,19.5,2025-09-23 14:35:00,8.0,Weekday,For You,0.0,High
I000058,U0362,C0280,1,1,0,0,0,56,,11.8,2026-02-08 20:34:00,4.62,Weekend,Trending,0.0,Medium
I000059,U0222,C0027,0,0,0,0,0,50,,5.0,2025-10-24 14:18:00,1.0,Weekday,Category Page,0.0,Low
I000060,U0434,C0721,1,1,0,0,1,70,,23.8,2026-02-08 15:17:00,8.4,Weekend,Because You Liked,0.0,High
I000061,U0313,C0440,1,1,1,1,1,59,3.0,4.7,2026-01-23 08:04:00,15.58,Weekday,Because You Liked,3.0,Very High
I000062,U0147,C0102,1,0,0,0,0,39,,2.3,2026-02-28 10:52:00,1.78,Weekend,For You,0.0,Low
I000063,U0356,C0344,1,0,1,0,1,78,4.0,15.6,2026-02-18 19:12:00,12.26,Weekday,Because You Liked,4.0,Very High
I000064,U0015,C0517,0,0,0,0,0,11,,1.0,2026-02-10 14:59:00,0.22,Weekday,Because You Liked,0.0,Low
I000065,U0295,C0880,1,1,0,0,0,45,4.0,13.1,2025-12-06 21:26:00,7.6,Weekend,For You,4.0,High
