user_id,age_group,study_level,study_mode,persona,favorite_categories,preferred_formats,preferred_moods,session_pattern,activity_level,time_availability,budget_sensitivity,campus_affinity,preferred_days,device_preference,home_region,discovery_style,avg_session_minutes,onboarding_interest_score
U0001,21-23,Postgraduate Taught,Full-time,Pop Culture Browser,Events|Music,Video|Playlist,Relaxed|Curious,Morning,High,Tight Schedule,Low,Mixed,Mixed,Laptop,Watford,Trendy,36,0.7
U0002,24-26,Undergraduate,Full-time,Career Builder,Tech|Finance|Career,Long Video|Article,Focused|Curious,Afternoon,Medium,Balanced,Low,Mixed,Mixed,Mobile,Remote/Online,Balanced,38,0.93
U0003,18-20,Undergraduate,Full-time,Career Builder,Finance|Tech|Study|Career,Guide|Podcast,Focused|Curious,Morning,Medium,Balanced,Low,Campus-Centered,Weekend,Mobile,Hatfield,Balanced,28,0.69
U0004,21-23,Undergraduate,Full-time,Minimalist Achiever,Productivity|Career|Study|Wellness,Short Video|Guide,Focused|Calm,Afternoon,High,Flexible,High,Mixed,Weekend,Mobile,Remote/Online,Familiar,48,0.83
U0005,21-23,Postgraduate Taught,Full-time,Wellness Seeker,Food|Fitness|Study|Lifestyle,Short Video|Article|Guide,Motivated|Relaxed,Morning,High,Balanced,Medium,Off-Campus,Weekday,Mobile,Watford,Familiar,25,0.8
U0006,18-20,Postgraduate Taught,Part-time,Campus Connector,Study|Lifestyle,Guide|Article,Motivated|Curious,Evening,Medium,Balanced,Medium,Mixed,Weekday,Laptop,Hatfield,Exploratory,25,0.65
U0007,21-23,Undergraduate,Full-time,Career Builder,Career|Finance|Study,Guide|Podcast,Curious|Motivated,Afternoon,Medium,Balanced,Low,Mixed,Weekday,Mobile,Remote/Online,Balanced,33,0.45
U0008,24-26,Postgraduate Taught,Full-time,Campus Connector,Events|Study,Carousel|Short Video,Social|Curious,Evening,Low,Tight Schedule,Medium,Off-Campus,Weekend,Mobile,London,Exploratory,12,0.64
U0009,21-23,Postgraduate Taught,Full-time,Pop Culture Browser,Events|Lifestyle,Carousel|Playlist|Video,Relaxed|Curious,Morning,Medium,Tight Schedule,Low,Mixed,Weekday,Laptop,Remote/Online,Trendy,19,0.76
U0010,21-23,Postgraduate Taught,Full-time,Focused Planner,Career|Finance,Guide|Podcast,Focused|Motivated,Late Night,Medium,Tight Schedule,Medium,Mixed,Weekend,Mobile,Watford,Balanced,21,0.52
U0011,21-23,Undergraduate,Full-time,Pop Culture Browser,Entertainment|Food|Music|Events,Video|Short Video,Relaxed|Excited,Morning,Medium,Balanced,Low,Off-Campus,Weekday,Laptop,London,Trendy,47,0.69
U0012,18-20,Undergraduate,Full-time,Focused Planner,Study|Wellness,Checklist|Guide|Article,Calm|Motivated,Late Night,High,Balanced,Medium,Off-Campus,Mixed,Mobile,Watford,Balanced,31,0.52
U0013,27-30,Postgraduate Taught,Full-time,Budget Explorer,Travel|Food|Lifestyle,Guide|Short Video,Relaxed|Curious,Early Morning,Medium,Flexible,High,Campus-Centered,Weekday,Laptop,St Albans,Trendy,25,0.74
U0014,18-20,Undergraduate,Full-time,Minimalist Achiever,Career|Productivity|Study|Finance,Article|Guide|Checklist,Motivated|Calm,Evening,Medium,Flexible,High,Off-Campus,Weekday,Laptop,London,Familiar,18,0.77
U0015,21-23,Undergraduate,Part-time,Focused Planner,Study|Career|Productivity|Wellness,Guide|Checklist,Motivated|Focused,Afternoon,Medium,Balanced,Medium,Mixed,Mixed,Mobile,Remote/Online,Balanced,24,0.68
U0016,21-23,Undergraduate,Full-time,Budget Explorer,Events|Travel,Guide|Carousel|Short Video,Curious|Relaxed,Evening,Medium,Balanced,High,Off-Campus,Weekday,Mobile,Hatfield,Trendy,24,0.98
U0017,18-20,Undergraduate,Full-time,Minimalist Achiever,Finance|Wellness,Checklist|Short Video,Calm|Focused,Late Night,High,Balanced,High,Campus-Centered,Weekend,Tablet,Remote/Online,Familiar,30,0.57
U0018,21-23,Undergraduate,Part-time,Focused Planner,Study|Wellness|Career,Podcast|Checklist,Focused|Motivated,Late Night,Medium,Flexible,Medium,Campus-Centered,Mixed,Mobile,Remote/Online,Balanced,40,0.55
U0019,21-23,Postgraduate Taught,Part-time,Campus Connector,Study|Food|Events|Lifestyle,Carousel|Article|Guide,Curious|Motivated,Morning,High,Balanced,Medium,Mixed,Weekday,Mobile,Luton,Exploratory,33,0.45
U0020,21-23,Postgraduate Taught,Full-time,Weekend Adventurer,Entertainment|Food|Travel|Lifestyle,Video|Guide|Carousel,Energetic|Excited,Early Morning,Medium,Balanced,Medium,Mixed,Weekday,Laptop,Hatfield,Exploratory,16,0.75
U0021,21-23,Undergraduate,Full-time,Minimalist Achiever,Career|Study|Wellness|Productivity,Article|Short Video|Checklist,Motivated|Focused,Evening,Medium,Tight Schedule,High,Mixed,Weekend,Laptop,Hatfield,Familiar,39,0.74
U0022,18-20,Undergraduate,Part-time,Wellness Seeker,Study|Wellness|Fitness,Guide|Short Video|Podcast,Motivated|Calm,Afternoon,Medium,Balanced,Medium,Campus-Centered,Mixed,Laptop,Hatfield,Familiar,29,0.68
U0023,21-23,Postgraduate Taught,Full-time,Minimalist Achiever,Study|Career,Guide|Checklist,Calm|Focused,Early Morning,High,Balanced,High,Mixed,Weekend,Mobile,Watford,Familiar,14,0.62
U0024,18-20,Undergraduate,Full-time,Minimalist Achiever,Finance|Career,Short Video|Checklist,Calm|Motivated,Evening,High,Flexible,High,Off-Campus,Mixed,Laptop,London,Familiar,25,0.87
U0025,21-23,Undergraduate,Full-time,Campus Connector,Lifestyle|Study|Food|Career,Short Video|Carousel|Article,Social|Curious,Evening,Medium,Tight Schedule,Medium,Campus-Centered,Weekend,Mobile,Hatfield,Exploratory,34,0.47
U0026,27-30,Postgraduate Taught,Full-time,Pop Culture Browser,Music|Entertainment|Food|Events,Carousel|Video|Short Video,Curious|Excited,Morning,Medium,Balanced,Low,Off-Campus,Weekday,Mobile,Remote/Online,Trendy,34,0.67
U0027,24-26,Postgraduate Taught,Part-time,Campus Connector,Career|Study|Lifestyle|Events,Guide|Article|Carousel,Curious|Motivated,Afternoon,High,Flexible,Medium,Mixed,Mixed,Mobile,St Albans,Exploratory,23,0.81
U0028,21-23,Postgraduate Taught,Part-time,Campus Connector,Events|Food,Short Video|Carousel|Article,Social|Curious,Afternoon,High,Balanced,Medium,Mixed,Weekday,Tablet,Hatfield,Exploratory,42,0.85
U0029,21-23,Undergraduate,Full-time,Focused Planner,Productivity|Wellness|Finance|Career,Guide|Article,Calm|Focused,Morning,High,Balanced,Medium,Off-Campus,Mixed,Laptop,Hatfield,Balanced,21,0.68
U0030,24-26,Postgraduate Taught,Full-time,Weekend Adventurer,Travel|Food|Entertainment|Events,Video|Short Video|Guide,Energetic|Excited,Morning,High,Tight Schedule,Medium,Mixed,Weekend,Mobile,St Albans,Exploratory,34,0.86
U0031,18-20,Postgraduate Taught,Full-time,Campus Connector,Events|Lifestyle|Study,Article|Guide|Carousel,Social|Motivated,Evening,High,Balanced,Medium,Mixed,Weekday,Laptop,Luton,Exploratory,25,0.69
U0032,18-20,Postgraduate Taught,Full-time,Focused Planner,Study|Finance|Career,Podcast|Article|Guide,Motivated|Calm,Late Night,Medium,Balanced,Medium,Mixed,Weekday,Mobile,St Albans,Balanced,18,0.55
U0033,21-23,Postgraduate Taught,Full-time,Wellness Seeker,Lifestyle|Study,Article|Short Video|Guide,Motivated|Relaxed,Morning,High,Balanced,Medium,Mixed,Weekday,Laptop,Hatfield,Familiar,39,0.91
U0034,24-26,Postgraduate Research,Full-time,Budget Explorer,Travel|Lifestyle,Article|Short Video,Energetic|Curious,Morning,Medium,Flexible,High,Campus-Centered,Weekend,Mobile,Watford,Trendy,30,0.86
U0035,21-23,Undergraduate,Full-time,Focused Planner,Productivity|Career,Checklist|Article,Focused|Calm,Late Night,Medium,Flexible,Medium,Mixed,Mixed,Mobile,Hatfield,Balanced,34,0.63
U0036,21-23,Postgraduate Taught,Full-time,Pop Culture Browser,Music|Food,Short Video|Carousel|Playlist,Excited|Curious,Evening,Medium,Flexible,Low,Campus-Centered,Mixed,Mobile,London,Trendy,34,0.94
U0037,18-20,Undergraduate,Full-time,Focused Planner,Productivity|Study|Career|Wellness,Article|Checklist|Podcast,Calm|Focused,Morning,Low,Tight Schedule,Medium,Mixed,Mixed,Mobile,Watford,Balanced,30,0.94
