content_id,total_views,total_likes,total_saves,total_shares,total_completions,avg_engagement_score,interaction_count,title,category,format,popularity_score,recency_score,content_quality_score,popularity_rank_score
C0726,45,34,24,6,23,8.738333333333333,48,A Smarter Student Money Routine for the Month for Tight Budgets,Finance,Guide,84,47,84,26.6715
C0292,30,19,16,10,19,9.428387096774193,31,Interesting Workshops and Meetups to Check Out This Month,Events,Carousel,96,100,73,26.528516129032262
C0525,40,25,18,7,24,8.602439024390243,41,7 Revision Habits That Actually Stick for Group Sessions,Study,Article,85,75,77,25.63073170731707
C0673,44,21,17,9,18,6.9558333333333335,48,Local Events That Feel Social Without Being Too Much This Month,Events,Carousel,94,93,79,25.586750000000002
C0216,45,24,21,7,22,8.096170212765957,47,Budget-Friendly Food Spots Worth Trying This Week for Rainy Evenings,Food,Article,92,61,91,25.528851063829787
C0169,43,26,14,14,20,7.5425,48,Budget-Friendly Food Spots Worth Trying This Week for Shared Kitchens,Food,Article,95,56,71,25.26275
C0244,45,29,11,11,17,6.766938775510204,49,Budget-Friendly Food Spots Worth Trying This Week This Week,Food,Short Video,88,74,95,24.78008163265306
C0264,39,19,12,11,18,6.789090909090908,44,Room Setup Changes That Make Studying Easier That Feel Worth It,Lifestyle,Short Video,99,85,65,24.686727272727275
C0188,39,22,17,10,22,7.993333333333332,42,Questions to Ask at Networking Events That Lead Somewhere That Recruiters Notice,Career,Guide,86,64,79,24.347999999999995
C0636,42,22,15,11,23,7.125416666666666,48,Lifestyle Upgrades That Feel Small but Useful Without Overdoing It,Lifestyle,Guide,82,77,77,24.237625
C0058,32,19,14,6,16,7.187368421052632,38,Internship Search Habits That Compound Over Time for Graduate Roles,Career,Guide,96,87,80,24.206210526315793
C0640,32,16,11,9,17,7.6251428571428574,35,Campus Events Worth Leaving Your Room For for Social Weekends,Events,Carousel,99,88,78,24.03754285714286
C0090,35,17,12,11,25,8.014871794871794,39,Cheap Meals You Can Make in Under 20 Minutes for Rainy Evenings,Food,Guide,92,70,87,23.90446153846154
C0718,38,20,13,9,22,7.7526829268292685,41,Cheap Meals You Can Make in Under 20 Minutes Near Campus,Food,Guide,81,88,84,23.875804878048775
C0558,28,25,11,7,16,8.609375,32,Discount Habits That Actually Save You Money for Everyday Spending,Finance,Article,79,88,75,23.832812499999996
C0457,31,20,13,5,20,8.596969696969696,33,How to Build Better Lecture Notes Without Overwriting Everything for Group Sessions,Study,Short Video,94,68,87,23.829090909090908
C0692,31,18,14,7,18,8.89090909090909,33,How to Build a Small Emergency Buffer While Studying for Everyday Spending,Finance,Podcast,86,87,67,23.81727272727273
C0611,41,22,15,6,16,7.1017777777777775,45,How to Build Better Lecture Notes Without Overwriting Everything for Busy Weeks,Study,Guide,99,58,86,23.78053333333333
C0130,39,19,18,5,18,7.304,40,Flashcard Systems Students Actually Keep Using for Group Sessions,Study,Checklist,82,86,74,23.491200000000003
C0196,35,26,14,7,21,8.616923076923078,39,Budget-Friendly Food Spots Worth Trying This Week on a Budget,Food,Short Video,71,72,98,23.385076923076923
C0333,25,18,13,10,16,9.172592592592592,27,Local Events That Feel Social Without Being Too Much This Month,Events,Carousel,78,90,74,23.201777777777778
C0783,37,24,14,14,14,7.20186046511628,43,Campus Events Worth Leaving Your Room For Without Big Spending,Events,Article,80,65,87,23.110558139534884
C0815,31,15,11,7,14,7.224242424242425,33,Five Focus Rituals for Low-Energy Days for Hybrid Routines,Productivity,Article,99,82,65,22.91727272727273
C0474,36,18,13,6,24,7.913333333333333,39,A Practical Guide to Last-Minute Exam Preparation for Mid-Semester Pressure,Study,Article,87,63,68,22.774
C0309,42,18,14,10,20,6.500384615384615,52,Local Events That Feel Social Without Being Too Much Without Big Spending,Events,Short Video,92,58,84,22.750115384615384
C0117,28,15,16,6,14,7.819999999999999,30,Useful Apps That Actually Save Students Time for Better Focus,Tech,Video,94,70,82,22.646
C0284,28,18,16,4,16,9.006666666666666,30,Local Events That Feel Social Without Being Too Much for Social Weekends,Events,Short Video,95,48,82,22.601999999999997
C0260,30,18,15,5,20,8.923225806451613,31,Budget-Friendly Food Spots Worth Trying This Week on a Budget,Food,Article,92,46,83,22.526967741935486
C0502,33,18,9,5,20,7.247428571428571,35,Ways to Cut Everyday Costs Without Feeling Restricted Without Feeling Miserable,Finance,Article,86,83,82,22.374228571428567
C0778,34,23,13,4,18,7.287692307692307,39,How to Follow Up After an Interview Without Sounding Generic for Graduate Roles,Career,Podcast,77,73,94,22.286307692307695
C0314,32,21,13,9,18,8.621818181818181,33,Local Events That Feel Social Without Being Too Much You’ll Actually Want to Attend,Events,Article,98,19,94,22.186545454545456
C0071,26,15,12,6,15,8.254193548387097,31,How to Follow Up After an Interview Without Sounding Generic Without Sounding Robotic,Career,Podcast,95,66,72,22.17625806451613
C0539,41,24,11,7,18,6.862666666666667,45,Self-Improvement Habits That Don’t Take Over Your Day That Actually Last,Lifestyle,Guide,85,53,88,22.1588
C0253,31,13,12,7,19,7.277777777777778,36,The Best Group Study Strategies for Busy Weeks for Mid-Semester Pressure,Study,Short Video,82,95,69,22.133333333333333
C0838,44,18,19,11,20,7.26,49,Cheap Meals You Can Make in Under 20 Minutes for Rainy Evenings,Food,Guide,99,9,65,22.078
C0664,33,16,13,7,16,6.340476190476191,42,How to Follow Up After an Interview Without Sounding Generic for Internship Season,Career,Long Video,90,74,71,22.052142857142858
C0475,37,24,12,6,21,6.64734693877551,49,A Practical Guide to Last-Minute Exam Preparation on a Tight Timetable,Study,Checklist,82,50,82,21.994204081632653
C0728,27,13,8,5,18,8.155714285714286,28,Interesting Workshops and Meetups to Check Out You’ll Actually Want to Attend,Events,Carousel,86,95,80,21.896714285714285
C0110,27,21,13,9,16,8.704,30,How to Build Better Lecture Notes Without Overwriting Everything for Mid-Semester Pressure,Study,Guide,68,76,89,21.8612
C0223,34,18,16,7,16,8.16,34,Interesting Workshops and Meetups to Check Out Near Campus,Events,Carousel,82,58,61,21.848
C0689,26,16,14,8,13,8.655714285714286,28,Cheap Meals You Can Make in Under 20 Minutes for Shared Kitchens,Food,Short Video,77,83,65,21.846714285714285
C0267,45,20,14,6,19,6.375918367346939,49,Ways to Cut Everyday Costs Without Feeling Restricted Without Feeling Miserable,Finance,Article,80,66,71,21.81277551020408
C0782,33,15,20,5,12,7.277142857142857,35,Room Setup Changes That Make Studying Easier Without Overdoing It,Lifestyle,Carousel,73,92,64,21.78314285714286
C0715,23,16,12,4,14,8.6928,25,How to Follow Up After an Interview Without Sounding Generic That Recruiters Notice,Career,Article,77,93,87,21.75784
C0120,18,16,10,5,13,9.518,20,How to Organize a Semester Without Overcomplicating It for Better Consistency,Productivity,Article,75,96,85,21.655400000000004
C0311,34,21,13,10,14,7.964864864864865,37,Low-Cost Weekend Plans for Students You’ll Actually Want to Attend,Events,Guide,86,42,84,21.63945945945946
C0491,40,21,10,9,21,7.33590909090909,44,Low-Cost Weekend Plans for Students Without Big Spending,Events,Carousel,82,50,95,21.600772727272727
C0133,31,21,13,9,12,7.239428571428571,35,Budgeting on a Student Schedule for Tight Budgets,Finance,Podcast,83,57,98,21.571828571428572
C0738,27,18,9,2,14,7.202,30,Easy Weekend Escapes You Can Do on a Budget for Students,Travel,Short Video,85,87,93,21.5606
C0370,34,12,16,13,13,7.774857142857143,35,Interesting Workshops and Meetups to Check Out for Social Weekends,Events,Carousel,99,37,66,21.482457142857147
